Zeitstempel von;H00 [kWh]
01.01.2021 00:00;27.26
01.01.2021 00:15;25.27
01.01.2021 00:30;23.37
01.01.2021 00:45;21.53
01.01.2021 01:00;19.76
01.01.2021 01:15;18.14
01.01.2021 01:30;16.71
01.01.2021 01:45;15.56
01.01.2021 02:00;14.75
01.01.2021 02:15;14.19
01.01.2021 02:30;13.78
01.01.2021 02:45;13.5
01.01.2021 03:00;13.22
01.01.2021 03:15;12.94
01.01.2021 03:30;12.69
01.01.2021 03:45;12.48
01.01.2021 04:00;12.26
01.01.2021 04:15;12.1
01.01.2021 04:30;12.01
01.01.2021 04:45;11.95
01.01.2021 05:00;11.95
01.01.2021 05:15;11.98
01.01.2021 05:30;12.04
01.01.2021 05:45;12.17
01.01.2021 06:00;12.35
01.01.2021 06:15;12.57
01.01.2021 06:30;12.85
01.01.2021 06:45;13.19
01.01.2021 07:00;13.69
01.01.2021 07:15;14.5
01.01.2021 07:30;15.9
01.01.2021 07:45;18.14
01.01.2021 08:00;21.35
01.01.2021 08:15;25.3
01.01.2021 08:30;29.62
01.01.2021 08:45;33.92
01.01.2021 09:00;37.93
01.01.2021 09:15;41.6
01.01.2021 09:30;44.93
01.01.2021 09:45;47.92
01.01.2021 10:00;50.6
01.01.2021 10:15;53.05
01.01.2021 10:30;55.39
01.01.2021 10:45;57.75
01.01.2021 11:00;60.15
01.01.2021 11:15;62.42
01.01.2021 11:30;64.29
01.01.2021 11:45;65.53
01.01.2021 12:00;65.9
01.01.2021 12:15;65.41
01.01.2021 12:30;64.07
01.01.2021 12:45;61.89
01.01.2021 13:00;59
01.01.2021 13:15;55.61
01.01.2021 13:30;52.06
01.01.2021 13:45;48.7
01.01.2021 14:00;45.74
01.01.2021 14:15;43.22
01.01.2021 14:30;41.1
01.01.2021 14:45;39.36
01.01.2021 15:00;37.96
01.01.2021 15:15;36.75
01.01.2021 15:30;35.72
01.01.2021 15:45;34.69
01.01.2021 16:00;33.7
01.01.2021 16:15;32.95
01.01.2021 16:30;32.73
01.01.2021 16:45;33.42
01.01.2021 17:00;35.13
01.01.2021 17:15;37.62
01.01.2021 17:30;40.45
01.01.2021 17:45;43.25
01.01.2021 18:00;45.68
